supplier_id,name,lead_time_mean,lead_time_std,defect_rate,late_shipments_rate,financial_score,risk_label_numeric
S1132,Supplier N,11.69,2.45,0.123,0.245,0.775,0.332
S1133,Supplier O,16.45,4.87,0.135,0.138,0.585,0.398
S1134,Supplier P,11.81,3.03,0.012,0.211,0.632,0.318
S1135,Supplier Q,9.02,2.2,0.145,0.118,0.583,0.321
S1136,Supplier R,13.86,1.85,0.076,0.117,0.757,0.289
S1137,Supplier S,14.76,4.09,0.122,0.078,0.6,0.348
S1138,Supplier T,5.09,2.43,0.028,0.208,0.835,0.195
S1139,Supplier U,12.39,3.04,0.065,0.247,0.748,0.324
S1140,Supplier V,12.8,3.96,0.048,0.079,0.487,0.333
S1141,Supplier W,8.81,2.52,0.051,0.033,0.586,0.246
S1142,Supplier X,15.5,2.95,0.027,0.208,0.533,0.389
S1143,Supplier Y,9.4,2.98,0.123,0.163,0.634,0.318
S1144,Supplier Z,10.5,3.68,0.011,0.241,0.71,0.293
S1145,Supplier A,9.31,3.59,0.054,0.078,0.704,0.235
S1146,Supplier B,10.06,2.78,0.034,0.036,0.853,0.173
S1147,Supplier C,5.61,3.06,0.092,0.133,0.514,0.292
S1148,Supplier D,4.24,2.63,0.046,0.04,0.968,0.086
S1149,Supplier E,16.38,1.52,0.046,0.08,0.606,0.333
S1150,Supplier F,6.61,3.26,0.078,0.049,0.58,0.243
S1151,Supplier G,6.03,4.89,0.101,0.072,0.811,0.186
S1152,Supplier H,2.0,2.12,0.027,0.044,0.883,0.084
S1153,Supplier I,7.44,2.23,0.035,0.239,0.627,0.296
S1154,Supplier J,4.71,2.13,0.045,0.084,0.848,0.144
S1155,Supplier K,16.57,3.72,0.146,0.122,0.93,0.294
S1156,Supplier L,14.04,3.45,0.066,0.227,0.86,0.299
S1157,Supplier M,7.25,2.84,0.094,0.176,0.421,0.354
S1158,Supplier N,19.01,2.08,0.044,0.162,0.896,0.304
S1159,Supplier O,13.93,3.09,0.079,0.182,0.865,0.284
S1160,Supplier P,8.7,1.44,0.02,0.211,0.802,0.239
S1161,Supplier Q,2.0,3.14,0.015,0.222,0.856,0.158
S1162,Supplier R,19.16,3.87,0.076,0.168,0.988,0.293
S1163,Supplier S,4.44,1.75,0.066,0.225,0.659,0.263
S1164,Supplier T,3.42,1.47,0.029,0.143,0.44,0.271
S1165,Supplier U,14.09,4.58,0.106,0.084,0.677,0.314
S1166,Supplier V,19.76,2.39,0.149,0.222,0.428,0.518
S1167,Supplier W,15.54,4.14,0.065,0.145,0.577,0.366
S1168,Supplier X,12.26,2.85,0.097,0.228,0.752,0.327
S1169,Supplier Y,12.38,2.84,0.145,0.029,0.586,0.318
S1170,Supplier Z,13.41,3.44,0.126,0.111,0.811,0.286
S1171,Supplier A,13.04,2.12,0.075,0.238,0.893,0.288
S1172,Supplier B,11.12,3.13,0.113,0.077,0.652,0.292
S1173,Supplier C,10.42,2.62,0.028,0.237,0.94,0.228
S1174,Supplier D,9.75,1.68,0.082,0.239,0.448,0.392
S1175,Supplier E,6.98,3.34,0.049,0.223,0.904,0.207
S1176,Supplier F,8.88,2.74,0.033,0.15,0.897,0.193
S1177,Supplier G,3.23,2.84,0.07,0.169,0.593,0.25
S1178,Supplier H,9.61,1.79,0.028,0.22,0.579,0.322
S1179,Supplier I,6.05,4.59,0.108,0.198,0.583,0.308
S1180,Supplier J,5.59,3.88,0.074,0.165,0.887,0.185
S1181,Supplier K,10.72,3.96,0.084,0.246,0.899,0.27
S1182,Supplier L,15.57,2.69,0.03,0.178,0.598,0.36
S1183,Supplier M,13.67,1.27,0.03,0.244,0.756,0.32
S1184,Supplier N,3.72,4.95,0.092,0.033,0.483,0.242
S1185,Supplier O,6.04,2.94,0.148,0.052,0.681,0.236
S1186,Supplier P,13.76,2.25,0.023,0.124,0.999,0.197
S1187,Supplier Q,6.07,3.42,0.05,0.109,0.495,0.276
S1188,Supplier R,9.1,4.17,0.132,0.2,0.969,0.233
S1189,Supplier S,12.2,2.98,0.02,0.057,0.895,0.184
S1190,Supplier T,6.13,4.28,0.133,0.245,0.983,0.217
S1191,Supplier U,10.42,4.08,0.083,0.092,0.508,0.322
S1192,Supplier V,4.66,1.92,0.067,0.119,0.528,0.263
S1193,Supplier W,7.59,2.33,0.053,0.083,0.41,0.308
S1194,Supplier X,11.28,3.96,0.052,0.153,0.835,0.244
S1195,Supplier Y,3.63,0.5,0.053,0.033,0.786,0.135
S1196,Supplier Z,11.76,2.85,0.134,0.054,0.507,0.341
S1197,Supplier A,9.92,1.57,0.111,0.192,0.875,0.258
S1198,Supplier B,12.21,2.52,0.104,0.063,0.58,0.315
S1199,Supplier C,10.9,2.7,0.122,0.074,0.481,0.343
S1200,Supplier D,15.46,2.64,0.046,0.202,0.654,0.358
S1201,Supplier E,10.5,2.45,0.097,0.041,0.455,0.324
S1202,Supplier F,8.28,1.9,0.074,0.121,0.558,0.293
S1203,Supplier G,10.49,5.29,0.12,0.025,0.623,0.276
S1204,Supplier H,12.17,4.87,0.053,0.1,0.911,0.21
S1205,Supplier I,10.2,1.84,0.1,0.181,0.876,0.252
S1206,Supplier J,10.16,4.58,0.134,0.041,0.666,0.272
S1207,Supplier K,7.19,2.6,0.066,0.224,0.835,0.238
S1208,Supplier L,7.35,3.13,0.019,0.229,0.741,0.251
S1209,Supplier M,4.39,2.94,0.082,0.044,0.605,0.213
S1210,Supplier N,17.0,2.34,0.058,0.248,0.836,0.342
S1211,Supplier O,5.02,3.98,0.104,0.088,0.81,0.184
S1212,Supplier P,7.23,3.13,0.143,0.039,0.771,0.214
S1213,Supplier Q,7.13,2.52,0.078,0.021,0.771,0.18
S1214,Supplier R,13.58,1.7,0.075,0.114,0.81,0.269
S1215,Supplier S,8.82,2.11,0.102,0.165,0.631,0.306
S1216,Supplier T,14.99,1.36,0.024,0.096,0.921,0.222
S1217,Supplier U,7.31,3.01,0.045,0.212,0.497,0.327
S1218,Supplier V,11.12,1.8,0.139,0.185,0.93,0.261
S1219,Supplier W,6.66,2.73,0.104,0.101,0.605,0.267
S1220,Supplier X,18.58,4.37,0.012,0.189,0.475,0.424
S1221,Supplier Y,5.25,4.2,0.039,0.236,0.76,0.234
S1222,Supplier Z,11.24,2.97,0.106,0.041,0.626,0.284
S1223,Supplier A,12.54,2.91,0.117,0.09,0.889,0.242
S1224,Supplier B,11.66,4.88,0.128,0.127,0.658,0.321
S1225,Supplier C,9.26,3.52,0.051,0.135,0.801,0.226
S1226,Supplier D,9.48,2.67,0.14,0.145,0.585,0.333
S1227,Supplier E,10.18,1.57,0.087,0.089,0.526,0.315
S1228,Supplier F,9.41,3.39,0.108,0.173,0.633,0.317
S1229,Supplier G,13.86,3.83,0.094,0.168,0.764,0.314
S1230,Supplier H,18.84,2.37,0.027,0.153,0.794,0.322
S1231,Supplier I,7.77,3.29,0.145,0.046,0.747,0.23
S1232,Supplier J,4.52,2.64,0.027,0.13,0.993,0.11
S1233,Supplier K,9.65,2.82,0.046,0.102,0.815,0.211
S1234,Supplier L,20.32,0.51,0.124,0.133,0.959,0.318
S1235,Supplier M,6.79,2.78,0.097,0.232,0.471,0.358
S1236,Supplier N,16.56,3.97,0.127,0.131,0.437,0.438
S1237,Supplier O,16.71,2.37,0.082,0.023,0.587,0.333
S1238,Supplier P,7.79,3.05,0.063,0.121,0.482,0.307
S1239,Supplier Q,12.28,2.24,0.139,0.209,0.716,0.347
S1240,Supplier R,16.51,3.36,0.015,0.199,0.711,0.338
S1241,Supplier S,8.48,2.78,0.13,0.138,0.745,0.269
S1242,Supplier T,9.19,2.06,0.042,0.077,0.847,0.186
S1243,Supplier U,7.67,4.33,0.129,0.127,0.983,0.184
S1244,Supplier V,5.94,3.93,0.029,0.15,0.927,0.153
S1245,Supplier W,7.4,2.4,0.091,0.25,0.471,0.369
S1246,Supplier X,5.1,3.5,0.134,0.168,0.603,0.291
S1247,Supplier Y,10.14,3.54,0.076,0.18,0.553,0.338
S1248,Supplier Z,6.92,3.64,0.115,0.133,0.506,0.316
S1249,Supplier A,10.94,1.31,0.123,0.102,0.727,0.281
S1250,Supplier B,3.78,4.01,0.113,0.207,0.732,0.246
S1251,Supplier C,11.32,2.43,0.14,0.134,0.536,0.362
S1252,Supplier D,13.33,2.64,0.073,0.249,0.827,0.314
S1253,Supplier E,2.03,5.64,0.034,0.125,0.84,0.132
S1254,Supplier F,11.5,3.3,0.017,0.036,0.413,0.312
S1255,Supplier G,14.91,2.61,0.045,0.177,0.637,0.346
S1256,Supplier H,5.16,0.79,0.03,0.031,0.934,0.096
S1257,Supplier I,16.69,4.39,0.088,0.078,0.712,0.32
S1258,Supplier J,11.68,1.65,0.036,0.101,0.609,0.289
S1259,Supplier K,7.18,2.0,0.015,0.19,0.552,0.288
S1260,Supplier L,9.78,2.67,0.015,0.134,0.546,0.293
S1261,Supplier M,12.23,4.42,0.126,0.027,0.46,0.346
S1262,Supplier N,10.3,3.77,0.093,0.162,0.89,0.238
S1263,Supplier O,12.16,2.84,0.06,0.115,0.452,0.356
S1264,Supplier P,6.32,3.31,0.135,0.232,0.575,0.337
S1265,Supplier Q,10.68,2.4,0.02,0.135,0.427,0.34
S1266,Supplier R,4.35,3.14,0.147,0.183,0.869,0.215
S1267,Supplier S,9.56,3.07,0.096,0.07,0.424,0.335
S1268,Supplier T,6.38,3.97,0.036,0.195,0.585,0.281
S1269,Supplier U,7.06,3.97,0.105,0.186,0.744,0.264
S1270,Supplier V,14.94,3.49,0.117,0.228,0.646,0.394
S1271,Supplier W,14.37,2.64,0.07,0.028,0.569,0.312
S1272,Supplier X,12.44,3.74,0.131,0.123,0.565,0.356
S1273,Supplier Y,5.63,2.91,0.031,0.176,0.879,0.176
S1274,Supplier Z,8.73,1.92,0.049,0.042,0.984,0.128
S1275,Supplier A,14.85,2.6,0.023,0.114,0.609,0.321
S1276,Supplier B,10.57,3.08,0.04,0.237,0.423,0.389
S1277,Supplier C,19.28,3.91,0.043,0.12,0.422,0.432
S1278,Supplier D,11.57,2.82,0.138,0.247,0.856,0.313
S1279,Supplier E,10.77,1.79,0.021,0.033,0.731,0.21
S1280,Supplier F,8.76,3.06,0.07,0.185,0.87,0.229
S1281,Supplier G,10.53,3.11,0.085,0.154,0.818,0.255
S1282,Supplier H,9.39,3.19,0.136,0.135,0.945,0.219
S1283,Supplier I,12.83,3.92,0.15,0.243,0.931,0.306
S1284,Supplier J,13.83,4.02,0.115,0.05,0.873,0.242
S1285,Supplier K,6.86,2.41,0.146,0.226,0.685,0.312
S1286,Supplier L,4.68,2.38,0.12,0.179,0.585,0.291
S1287,Supplier M,2.66,1.96,0.145,0.08,0.704,0.205
S1288,Supplier N,12.03,3.7,0.109,0.227,0.701,0.345
S1289,Supplier O,5.59,4.45,0.021,0.119,0.766,0.182
S1290,Supplier P,2.0,2.68,0.066,0.207,0.512,0.276
S1291,Supplier Q,11.55,2.76,0.101,0.109,0.793,0.262
S1292,Supplier R,19.97,4.47,0.059,0.216,0.674,0.407
S1293,Supplier S,9.98,3.51,0.048,0.166,0.772,0.254
S1294,Supplier T,13.35,3.44,0.091,0.052,0.544,0.328
S1295,Supplier U,10.33,1.81,0.141,0.169,0.661,0.329
S1296,Supplier V,9.6,3.68,0.015,0.064,0.526,0.27
S1297,Supplier W,13.68,2.07,0.118,0.115,0.925,0.252
S1298,Supplier X,8.84,1.87,0.111,0.059,0.693,0.249
S1299,Supplier Y,11.07,2.65,0.145,0.025,0.535,0.318
S1300,Supplier Z,11.29,2.41,0.14,0.069,0.425,0.369
S1301,Supplier A,7.33,2.78,0.117,0.143,0.805,0.236
S1302,Supplier B,13.97,1.56,0.083,0.131,0.529,0.366
S1303,Supplier C,9.3,3.96,0.039,0.135,0.994,0.164
S1304,Supplier D,6.98,4.13,0.086,0.077,0.72,0.219
S1305,Supplier E,12.15,1.05,0.117,0.178,0.573,0.367
S1306,Supplier F,6.41,3.98,0.135,0.182,0.795,0.253
S1307,Supplier G,10.11,2.19,0.121,0.102,0.565,0.321
S1308,Supplier H,9.96,3.86,0.037,0.223,0.892,0.236
S1309,Supplier I,14.34,2.93,0.094,0.168,0.585,0.373
S1310,Supplier J,11.9,3.03,0.057,0.184,0.993,0.217
S1311,Supplier K,9.9,2.81,0.011,0.084,0.763,0.208
S1312,Supplier L,13.27,4.21,0.038,0.02,0.907,0.184
S1313,Supplier M,15.56,1.76,0.026,0.219,0.444,0.42
S1314,Supplier N,12.23,3.61,0.128,0.209,0.609,0.374
S1315,Supplier O,10.04,4.1,0.046,0.048,0.842,0.185
S1316,Supplier P,4.75,3.72,0.05,0.106,0.793,0.172
S1317,Supplier Q,5.74,5.32,0.144,0.172,0.517,0.329
S1318,Supplier R,8.78,2.47,0.063,0.17,0.614,0.297
S1319,Supplier S,7.56,3.96,0.011,0.218,0.558,0.3
S1320,Supplier T,9.25,2.89,0.05,0.052,0.768,0.203
S1321,Supplier U,10.23,4.23,0.027,0.119,0.607,0.278
S1322,Supplier V,12.12,2.99,0.024,0.042,0.585,0.272
S1323,Supplier W,9.72,2.61,0.021,0.11,0.524,0.292
S1324,Supplier X,11.95,4.31,0.093,0.023,0.645,0.272
S1325,Supplier Y,10.26,2.51,0.037,0.227,0.517,0.353
S1326,Supplier Z,2.1,1.59,0.061,0.141,0.978,0.108
S1327,Supplier A,6.24,2.48,0.131,0.215,0.493,0.353
S1328,Supplier B,9.42,3.62,0.069,0.034,0.948,0.151
S1329,Supplier C,5.16,4.39,0.138,0.072,0.657,0.239
S1330,Supplier D,12.4,3.11,0.08,0.08,0.627,0.3
S1331,Supplier E,16.12,4.32,0.066,0.109,0.539,0.37
S1332,Supplier F,14.88,1.64,0.115,0.205,0.781,0.342
S1333,Supplier G,9.15,2.56,0.02,0.109,0.811,0.2
S1334,Supplier H,15.96,2.71,0.023,0.067,0.681,0.291
S1335,Supplier I,10.59,2.89,0.101,0.035,0.433,0.33
S1336,Supplier J,8.65,3.08,0.078,0.038,0.951,0.148
S1337,Supplier K,7.55,3.69,0.121,0.195,0.988,0.205
S1338,Supplier L,8.79,2.56,0.138,0.122,0.659,0.295
S1339,Supplier M,8.45,3.14,0.064,0.187,0.768,0.255
S1340,Supplier N,10.68,2.95,0.093,0.177,0.67,0.314
S1341,Supplier O,10.64,2.07,0.08,0.051,0.593,0.281
S1342,Supplier P,10.01,2.89,0.147,0.053,0.446,0.346
S1343,Supplier Q,11.75,2.86,0.126,0.194,0.674,0.343
S1344,Supplier R,14.76,2.83,0.138,0.186,0.891,0.31
S1345,Supplier S,13.8,3.03,0.046,0.107,0.41,0.376
S1346,Supplier T,4.06,3.08,0.118,0.038,0.749,0.178
S1347,Supplier U,2.0,2.57,0.047,0.023,0.928,0.069
S1348,Supplier V,13.74,4.27,0.039,0.086,0.531,0.328
S1349,Supplier W,4.53,1.83,0.142,0.022,0.51,0.258
S1350,Supplier X,9.1,2.28,0.013,0.073,0.863,0.166
S1351,Supplier Y,5.32,5.78,0.145,0.116,0.553,0.292
S1352,Supplier Z,2.79,1.96,0.031,0.048,0.515,0.205
S1353,Supplier A,12.17,1.65,0.125,0.044,0.627,0.301
S1354,Supplier B,13.04,3.73,0.049,0.226,0.636,0.35
S1355,Supplier C,7.69,0.92,0.059,0.155,0.924,0.185
S1356,Supplier D,2.0,2.76,0.04,0.235,0.771,0.199
S1357,Supplier E,7.82,5.15,0.092,0.1,0.644,0.262
S1358,Supplier F,11.57,1.46,0.059,0.176,0.721,0.293
S1359,Supplier G,4.08,1.02,0.102,0.067,0.972,0.117
S1360,Supplier H,10.73,1.5,0.012,0.162,0.468,0.337
S1361,Supplier I,9.94,3.9,0.019,0.05,0.525,0.27
S1362,Supplier J,12.32,4.12,0.024,0.02,0.978,0.148
S1363,Supplier K,10.48,2.49,0.069,0.234,0.974,0.234
S1364,Supplier L,6.11,3.68,0.124,0.148,0.506,0.318
S1365,Supplier M,14.79,4.39,0.134,0.233,0.487,0.449
S1366,Supplier N,9.37,4.79,0.044,0.097,0.653,0.254
S1367,Supplier O,9.89,2.75,0.09,0.095,0.43,0.344
S1368,Supplier P,6.27,0.7,0.118,0.112,0.793,0.217
S1369,Supplier Q,8.23,2.18,0.05,0.182,0.446,0.341
S1370,Supplier R,6.46,2.57,0.067,0.15,0.435,0.321
S1371,Supplier S,9.31,2.74,0.083,0.233,0.691,0.312
S1372,Supplier T,16.85,2.81,0.029,0.026,0.975,0.198
S1373,Supplier U,4.51,4.12,0.014,0.183,0.656,0.227
S1374,Supplier V,3.55,4.27,0.031,0.096,0.614,0.202
S1375,Supplier W,15.88,2.83,0.098,0.061,0.999,0.223
S1376,Supplier X,9.16,4.1,0.02,0.137,0.719,0.239
S1377,Supplier Y,7.32,3.36,0.037,0.136,0.625,0.255
S1378,Supplier Z,14.16,3.06,0.057,0.052,0.632,0.296
S1379,Supplier A,7.58,3.91,0.021,0.066,0.517,0.256
S1380,Supplier B,17.3,3.07,0.037,0.114,0.707,0.321
S1381,Supplier C,12.71,5.06,0.138,0.114,0.663,0.329
S1382,Supplier D,8.05,1.56,0.013,0.093,0.562,0.254
S1383,Supplier E,18.63,2.48,0.101,0.054,0.496,0.4
S1384,Supplier F,7.58,2.87,0.064,0.021,0.587,0.234
S1385,Supplier G,12.97,3.44,0.104,0.243,0.705,0.357
S1386,Supplier H,11.2,4.27,0.092,0.237,0.435,0.413
S1387,Supplier I,15.21,2.98,0.041,0.131,0.492,0.373
S1388,Supplier J,16.25,1.58,0.129,0.249,0.969,0.323
S1389,Supplier K,10.13,3.84,0.079,0.175,0.726,0.285
S1390,Supplier L,6.99,3.75,0.125,0.036,0.438,0.303
S1391,Supplier M,11.84,1.06,0.067,0.047,0.816,0.219
S1392,Supplier N,7.29,3.0,0.148,0.231,0.437,0.393
S1393,Supplier O,18.05,1.41,0.118,0.165,0.843,0.341
S1394,Supplier P,10.55,2.34,0.145,0.214,0.85,0.294
S1395,Supplier Q,8.54,2.1,0.082,0.227,0.791,0.272
S1396,Supplier R,10.74,3.81,0.076,0.123,0.839,0.235
S1397,Supplier S,4.61,3.12,0.116,0.031,0.453,0.269
S1398,Supplier T,6.11,1.71,0.133,0.063,0.836,0.189
S1399,Supplier U,14.8,3.88,0.145,0.035,0.482,0.376
S1400,Supplier V,7.37,1.57,0.055,0.063,0.604,0.24
S1401,Supplier W,5.81,3.33,0.122,0.114,0.966,0.163
S1402,Supplier X,12.15,2.19,0.039,0.047,0.702,0.246
S1403,Supplier Y,14.74,2.63,0.086,0.058,0.98,0.211
S1404,Supplier Z,12.88,3.5,0.035,0.123,0.453,0.356
S1405,Supplier A,13.98,3.52,0.059,0.098,0.687,0.297
S1406,Supplier B,6.97,4.34,0.14,0.128,0.437,0.346
S1407,Supplier C,4.31,2.92,0.03,0.119,0.778,0.169
S1408,Supplier D,16.01,3.31,0.099,0.168,0.447,0.433
S1409,Supplier E,8.71,2.56,0.093,0.236,0.505,0.367
S1410,Supplier F,9.0,3.18,0.027,0.045,0.555,0.252
S1411,Supplier G,15.31,3.44,0.056,0.043,0.849,0.238
S1412,Supplier H,12.22,2.9,0.089,0.216,0.498,0.395
S1413,Supplier I,11.82,1.2,0.036,0.136,0.908,0.215
S1414,Supplier J,18.66,3.33,0.122,0.196,0.479,0.47
S1415,Supplier K,7.43,3.36,0.146,0.07,0.421,0.334
S1416,Supplier L,13.71,2.32,0.04,0.211,0.637,0.346
S1417,Supplier M,10.23,1.72,0.036,0.232,0.988,0.213
S1418,Supplier N,11.07,4.48,0.074,0.166,0.466,0.367
S1419,Supplier O,16.11,3.49,0.115,0.044,0.461,0.386
S1420,Supplier P,12.03,2.77,0.049,0.226,0.851,0.275
S1421,Supplier Q,12.15,1.86,0.013,0.202,0.587,0.331
S1422,Supplier R,14.29,2.18,0.086,0.193,0.83,0.305
S1423,Supplier S,8.54,4.3,0.144,0.028,0.52,0.298
S1424,Supplier T,6.64,3.14,0.065,0.204,0.676,0.271
S1425,Supplier U,5.82,2.45,0.069,0.052,0.559,0.239
S1426,Supplier V,2.13,3.51,0.146,0.071,0.671,0.207
S1427,Supplier W,18.22,2.19,0.107,0.153,0.861,0.328
S1428,Supplier X,5.59,4.5,0.111,0.081,0.857,0.175
S1429,Supplier Y,9.11,4.35,0.089,0.172,0.709,0.283
S1430,Supplier Z,8.89,2.53,0.146,0.16,0.957,0.224
S1431,Supplier A,11.23,2.37,0.106,0.045,0.558,0.305
S1432,Supplier B,13.26,0.5,0.135,0.171,0.544,0.392
S1433,Supplier C,13.44,1.52,0.108,0.233,0.768,0.34
S1434,Supplier D,7.67,1.66,0.113,0.057,0.773,0.213
S1435,Supplier E,9.33,3.14,0.051,0.157,0.428,0.348
S1436,Supplier F,11.13,2.67,0.052,0.099,0.765,0.242
S1437,Supplier G,9.01,1.65,0.12,0.126,0.625,0.301
S1438,Supplier H,16.43,2.72,0.052,0.086,0.848,0.265
S1439,Supplier I,11.96,3.51,0.089,0.101,0.885,0.23
S1440,Supplier J,12.94,3.53,0.045,0.027,0.731,0.239
S1441,Supplier K,12.65,1.1,0.124,0.246,0.401,0.454
S1442,Supplier L,14.69,2.87,0.025,0.164,0.782,0.288
S1443,Supplier M,10.72,1.62,0.126,0.135,0.849,0.257
S1444,Supplier N,4.81,3.9,0.094,0.108,0.549,0.264
S1445,Supplier O,11.6,3.78,0.036,0.144,0.679,0.284
S1446,Supplier P,7.39,2.1,0.086,0.107,0.979,0.157
S1447,Supplier Q,7.89,2.23,0.05,0.103,0.579,0.266
S1448,Supplier R,12.35,2.54,0.055,0.127,0.534,0.336
S1449,Supplier S,14.95,0.75,0.059,0.083,0.527,0.349
S1450,Supplier T,10.09,3.34,0.019,0.061,0.735,0.212
S1451,Supplier U,11.24,2.73,0.148,0.148,0.97,0.24
S1452,Supplier V,16.81,3.97,0.014,0.214,0.765,0.33
S1453,Supplier W,10.96,1.9,0.103,0.055,0.582,0.298
S1454,Supplier X,20.41,2.38,0.062,0.028,0.783,0.305
S1455,Supplier Y,12.26,1.49,0.1,0.077,0.775,0.261
S1456,Supplier Z,2.96,2.0,0.06,0.245,0.758,0.224
S1457,Supplier A,13.01,1.82,0.104,0.211,0.496,0.407
S1458,Supplier B,11.52,4.0,0.112,0.157,0.781,0.289
S1459,Supplier C,15.16,2.3,0.107,0.234,0.658,0.39
S1460,Supplier D,12.69,3.12,0.026,0.122,0.411,0.363
S1461,Supplier E,9.45,2.62,0.102,0.246,0.724,0.317
S1462,Supplier F,5.1,1.73,0.049,0.088,0.994,0.108
S1463,Supplier G,9.16,2.83,0.014,0.075,0.61,0.244
S1464,Supplier H,6.6,3.6,0.068,0.167,0.979,0.166
S1465,Supplier I,7.68,1.79,0.071,0.107,0.458,0.311
S1466,Supplier J,12.35,3.81,0.075,0.164,0.839,0.267
S1467,Supplier K,16.68,2.15,0.109,0.09,0.469,0.406
S1468,Supplier L,11.58,2.52,0.053,0.162,0.564,0.333
S1469,Supplier M,5.22,3.53,0.054,0.083,0.743,0.184
S1470,Supplier N,11.78,2.34,0.018,0.032,0.756,0.211
S1471,Supplier O,14.79,3.04,0.106,0.23,0.865,0.323
S1472,Supplier P,7.56,2.69,0.089,0.223,0.769,0.27
S1473,Supplier Q,9.46,3.13,0.059,0.243,0.756,0.289
S1474,Supplier R,10.06,0.62,0.109,0.185,0.947,0.234
S1475,Supplier S,6.86,1.17,0.085,0.177,0.671,0.272
S1476,Supplier T,12.59,3.62,0.076,0.149,0.535,0.355
S1477,Supplier U,9.52,4.04,0.082,0.049,0.497,0.298
S1478,Supplier V,11.68,2.09,0.099,0.064,0.64,0.29
S1479,Supplier W,6.45,2.76,0.102,0.087,0.828,0.192
S1480,Supplier X,8.25,3.29,0.05,0.225,0.426,0.365
S1481,Supplier Y,12.89,3.69,0.03,0.06,0.477,0.321
S1482,Supplier Z,8.51,0.97,0.032,0.232,0.464,0.352
S1483,Supplier A,16.91,2.11,0.1,0.14,0.751,0.34
S1484,Supplier B,8.4,2.67,0.132,0.185,0.546,0.347
S1485,Supplier C,10.9,3.7,0.067,0.045,0.5,0.304
S1486,Supplier D,13.73,5.5,0.034,0.082,0.756,0.257
S1487,Supplier E,4.33,2.77,0.116,0.24,0.857,0.229
S1488,Supplier F,2.96,1.59,0.127,0.081,0.599,0.233
S1489,Supplier G,3.9,3.4,0.133,0.088,0.747,0.203
S1490,Supplier H,15.05,4.32,0.095,0.065,0.459,0.377
S1491,Supplier I,7.79,3.11,0.131,0.05,0.961,0.162
S1492,Supplier J,20.23,2.09,0.012,0.074,0.602,0.356
S1493,Supplier K,7.74,3.96,0.025,0.168,0.999,0.155
S1494,Supplier L,10.74,3.66,0.023,0.125,0.987,0.17
S1495,Supplier M,16.17,1.97,0.11,0.147,0.867,0.304
S1496,Supplier N,18.02,3.38,0.02,0.048,0.412,0.384
S1497,Supplier O,18.25,4.0,0.079,0.204,0.726,0.378
S1498,Supplier P,14.83,4.18,0.076,0.2,0.452,0.423
S1499,Supplier Q,14.1,2.93,0.053,0.025,0.937,0.191
S1500,Supplier R,12.37,2.64,0.132,0.108,0.874,0.258
S1501,Supplier S,13.11,4.23,0.034,0.036,0.983,0.164
S1502,Supplier T,7.8,1.79,0.059,0.202,0.765,0.253
S1503,Supplier U,6.73,3.44,0.118,0.19,0.713,0.276
S1504,Supplier V,9.99,1.63,0.014,0.227,0.711,0.283
S1505,Supplier W,9.32,4.07,0.104,0.074,0.632,0.275
S1506,Supplier X,8.19,2.74,0.124,0.125,0.681,0.277
S1507,Supplier Y,12.79,4.27,0.141,0.062,0.781,0.275
S1508,Supplier Z,13.82,3.49,0.133,0.105,0.96,0.246
S1509,Supplier A,10.35,1.78,0.055,0.14,0.758,0.254
S1510,Supplier B,15.91,4.42,0.092,0.032,0.914,0.235
S1511,Supplier C,5.43,4.55,0.021,0.184,0.918,0.161
S1512,Supplier D,9.23,3.88,0.046,0.145,0.711,0.255
S1513,Supplier E,7.13,2.24,0.023,0.211,0.608,0.282
S1514,Supplier F,2.53,2.69,0.054,0.083,0.784,0.145
S1515,Supplier G,9.67,3.15,0.133,0.228,0.668,0.341
S1516,Supplier H,9.51,2.3,0.059,0.25,0.449,0.384
S1517,Supplier I,16.05,4.69,0.089,0.231,0.627,0.401
S1518,Supplier J,12.52,3.14,0.071,0.199,0.996,0.234
S1519,Supplier K,5.9,0.5,0.074,0.207,0.429,0.343
S1520,Supplier L,17.42,3.34,0.146,0.152,0.818,0.348
S1521,Supplier M,14.88,2.65,0.051,0.064,0.905,0.224
S1522,Supplier N,12.33,2.93,0.098,0.176,0.789,0.296
S1523,Supplier O,9.09,2.63,0.069,0.184,0.742,0.269
S1524,Supplier P,6.16,3.81,0.019,0.247,0.825,0.22
S1525,Supplier Q,8.51,4.12,0.079,0.144,0.658,0.277
S1526,Supplier R,14.35,3.28,0.124,0.082,0.455,0.39
S1527,Supplier S,17.54,2.66,0.024,0.177,0.977,0.263
S1528,Supplier T,16.17,2.96,0.02,0.245,0.659,0.37
S1529,Supplier U,8.04,3.02,0.032,0.061,0.799,0.178
S1530,Supplier V,5.52,2.2,0.117,0.095,0.719,0.224
S1531,Supplier W,10.56,3.58,0.111,0.145,0.433,0.378
S1532,Supplier X,2.93,3.46,0.089,0.059,0.972,0.097
S1533,Supplier Y,11.29,4.54,0.076,0.025,0.876,0.191
S1534,Supplier Z,9.41,4.26,0.134,0.098,0.489,0.34
S1535,Supplier A,8.14,2.31,0.117,0.219,0.989,0.219
S1536,Supplier B,3.62,3.82,0.124,0.03,0.842,0.145
S1537,Supplier C,12.05,2.05,0.124,0.119,0.683,0.313
S1538,Supplier D,7.87,3.7,0.1,0.195,0.767,0.267
S1539,Supplier E,5.32,2.48,0.074,0.239,0.464,0.339
